id,isResult,side,h,a,goals,xG,datetime,forecast,result,date,team,is_home,opponent,home_title,away_title,h_goals,a_goals,xG_num,xGA_num,rolling_xg,rolling_xga,rest_days,is_derby,euro_travel
14086,True,a,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '0', 'a': '3'}","{'h': '0.126327', 'a': '2.16287'}",2020-09-12 11:30:00+00:00,"{'w': 0.015556024174864257, 'd': 0.13098888091547736, 'l': 0.8534550841423703}",w,2020-09-12 11:30:00+00:00,Arsenal,False,Fulham,Fulham,Arsenal,0,3,2.16287,0.126327,2.16287,0.126327,0,False,False
14099,True,h,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '2', 'a': '1'}","{'h': '1.32902', 'a': '2.06377'}",2020-09-19 19:00:00+00:00,"{'w': 0.24407883823592397, 'd': 0.21199420022278395, 'l': 0.5439269556834567}",w,2020-09-19 19:00:00+00:00,Arsenal,True,West_Ham,Arsenal,West Ham,2,1,1.32902,2.06377,1.7459449999999999,1.0950484999999999,7,False,False
14115,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '3', 'a': '1'}","{'h': '2.73834', 'a': '1.17817'}",2020-09-28 19:15:00+00:00,"{'w': 0.7017193006049527, 'd': 0.15880274683166576, 'l': 0.13947773526529658}",l,2020-09-28 19:15:00+00:00,Arsenal,False,Liverpool,Liverpool,Arsenal,3,1,1.17817,2.73834,1.5566866666666666,1.6428123333333333,9,False,False
14465,True,h,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'h': '2', 'a': '1'}","{'h': '0.667131', 'a': '0.144994'}",2020-10-04 13:00:00+00:00,"{'w': 0.4395102750415532, 'd': 0.4879031388833844, 'l': 0.0725865860750612}",w,2020-10-04 13:00:00+00:00,Arsenal,True,Sheffield_United,Arsenal,Sheffield United,2,1,0.667131,0.144994,1.33429775,1.2683577499999998,5,False,False
14480,True,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '1', 'a': '0'}","{'h': '1.43023', 'a': '0.838322'}",2020-10-17 16:30:00+00:00,"{'w': 0.5096990678887009, 'd': 0.27003910560889455, 'l': 0.22026182645934003}",l,2020-10-17 16:30:00+00:00,Arsenal,False,Manchester_City,Manchester City,Arsenal,1,0,0.838322,1.43023,1.2351025999999998,1.3007322,13,False,False
14485,True,h,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '0', 'a': '1'}","{'h': '0.73944', 'a': '0.736172'}",2020-10-25 19:15:00+00:00,"{'w': 0.31541556640335616, 'd': 0.3710971918817449, 'l': 0.3134872417148908}",l,2020-10-25 19:15:00+00:00,Arsenal,True,Leicester,Arsenal,Leicester,0,1,0.73944,0.736172,0.9504166,1.4227012,8,False,False
14500,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '0', 'a': '1'}","{'h': '0.394113', 'a': '0.998072'}",2020-11-01 16:30:00+00:00,"{'w': 0.14356691856324408, 'd': 0.35633667162390653, 'l': 0.5000964098125575}",w,2020-11-01 16:30:00+00:00,Arsenal,False,Manchester_United,Manchester United,Arsenal,0,1,0.998072,0.394113,0.8842270000000001,1.0887698000000001,6,False,False
14505,True,h,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '0', 'a': '3'}","{'h': '1.39037', 'a': '1.98553'}",2020-11-08 19:15:00+00:00,"{'w': 0.2687083096484149, 'd': 0.21753954090807417, 'l': 0.5137521458955175}",l,2020-11-08 19:15:00+00:00,Arsenal,True,Aston_Villa,Arsenal,Aston Villa,0,3,1.39037,1.98553,0.9266670000000001,0.9382078,7,False,False
14518,True,a,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '0', 'a': '0'}","{'h': '1.9617', 'a': '0.710778'}",2020-11-22 16:30:00+00:00,"{'w': 0.6690410979927893, 'd': 0.20466008167762287, 'l': 0.1262988173279613}",d,2020-11-22 16:30:00+00:00,Arsenal,False,Leeds,Leeds,Arsenal,0,0,0.710778,1.9617,0.9353964000000001,1.301549,13,False,False
14525,True,h,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'h': '1', 'a': '2'}","{'h': '1.1185', 'a': '2.0069'}",2020-11-29 19:15:00+00:00,"{'w': 0.20694534990119975, 'd': 0.2137504614831059, 'l': 0.5793041845638468}",l,2020-11-29 19:15:00+00:00,Arsenal,True,Wolverhampton_Wanderers,Arsenal,Wolverhampton Wanderers,1,2,1.1185,2.0069,0.991432,1.416883,7,False,False
14542,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '2', 'a': '0'}","{'h': '0.390629', 'a': '0.595216'}",2020-12-06 16:30:00+00:00,"{'w': 0.19844387684348472, 'd': 0.4650532895496162, 'l': 0.3365028336068986}",l,2020-12-06 16:30:00+00:00,Arsenal,False,Tottenham,Tottenham,Arsenal,2,0,0.595216,0.390629,0.9625872,1.3477744,6,True,False
14554,True,h,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '0', 'a': '1'}","{'h': '1.85362', 'a': '0.815375'}",2020-12-13 19:15:00+00:00,"{'w': 0.6194186385376844, 'd': 0.22099863629813118, 'l': 0.15958272374562246}",l,2020-12-13 19:15:00+00:00,Arsenal,True,Burnley,Arsenal,Burnley,0,1,1.85362,0.815375,1.1336968,1.4320267999999998,7,False,False
